bid_type;campaign_id;campaign_name;started_at;finished_at;impressions;frequency;clicks;cpc;cpm;ctr;cr;cost;orders_qty;added_to_cart;orders_per_1k
Единая Ставка;15362355;133763577 ✅ коровка 15.03.2024;2024-03-15 18:59:47;2024-04-13 23:59:59;129177;0.97;4113;8.3;264.15;3.18;1.29;34123.15;53;471;1.5531977557757708
Единая Ставка;10588593;707 автоКампания;2023-10-08 23:25:25;2023-10-12 19:54:05;4431;0.98;111;36.17;906.2;2.51;0.9;4015.41;1;1;0.24904057119945414
Ручная Ставка;33414520;Новая Ручная Черная ДР от 28.01.2026;2026-01-28 14:09:29;2026-05-07 13:39:50;415961;0.96;18097;6.74;293.21;4.35;7.84;121964.82;1418;4284;11.62630338814094
Единая Ставка;29187155;Единая полки Черная ДР от 06.10.2025;2025-10-06 14:08:38;2025-10-06 20:19:08;8169;0.97;262;4.23;135.58;3.21;6.49;1107.59;17;46;15.348639839651858
Ручная Ставка;19240010;Кампания от 12.08.2024;2024-08-12 12:05:53;2024-09-11 14:34:20;42572;0.96;1682;10.1;398.96;3.95;2.14;16984.6;36;63;2.119567137289074
Единая Ставка;10901207;Бустер 705 от 17.10.2023;2023-10-17 20:41:58;2023-10-30 22:13:24;5604;0.98;138;16.28;400.91;2.46;0.72;2246.7;1;1;0.44509725374994435
Единая Ставка;29285808;Единая Полки Бордо от 09.10.2025;2025-10-09 15:48:37;2025-10-19 23:59:59;70894;0.96;2907;4.86;199.46;4.1;5.06;14141.0;147;519;10.395304433915564
Ручная Ставка;27007984;Аук за клики Черн Карман от 15.07.2025;2025-07-15 21:01:04;2025-09-09 23:59:59;149699;0.94;9796;6.74;441.09;6.54;3.86;66031.85;378;1058;5.724510217417806
Единая Ставка;21559149;T04long_white;2024-11-22 00:27:24;2024-12-09 23:59:59;30440;0.99;343;24.46;275.63;1.13;0.87;8390.34;3;29;0.357554044293795
Единая Ставка;10966706;Арк бустер Сингапур;2023-10-19 19:10:27;2023-10-20 15:17:40;4022;0.99;61;17.86;270.91;1.52;1.64;1089.63;1;1;0.9177427200058734
Ручная Ставка;29743118;Ручн Черная ДР от 27.10.2025;2025-10-27 09:53:45;2025-12-28 23:59:59;221419;0.96;8648;11.05;431.6;3.91;7.38;95565.35;638;1780;6.676059889907796
Ручная Ставка;29731579;Ручная Слон от 26.10.2025;2025-10-26 15:04:15;2026-05-07 13:39:50;186487;0.95;9176;11.28;554.95;4.92;6.23;103492.29;572;1607;5.526981768400332
Единая Ставка;29339839;Единая полки Стойка Белая от 11.10.2025;2025-10-11 20:32:25;2026-01-14 23:59:59;35878;0.97;1040;11.2;324.65;2.9;3.27;11647.88;34;116;2.9189861159283925
Ручная Ставка;25001637;Аукцион 315 от 22.04.2025;2025-04-22 16:11:58;2025-08-27 23:59:59;104313;0.86;17051;8.41;1375.22;16.35;3.72;143454.13;634;2572;4.419531176969251
Единая Ставка;23869478;Черный Синг БР от 11.03.2025;2025-03-11 10:20:53;2025-03-14 10:58:30;39620;0.95;2197;2.92;161.88;5.55;2.0;6413.87;44;213;6.860132805934639
Единая Ставка;20241110;Жилетка / 🟢АРК;2024-09-28 12:58:34;2024-12-11 23:59:59;1156002;0.97;35206;5.93;180.6;3.05;1.93;208782.74;680;2431;3.256974211565573
Ручная Ставка;36311890;Черный Синг Ручная 04.05.2026;2026-05-04 09:15:49;2026-05-07 13:39:50;29151;0.96;1368;7.88;369.79;4.69;6.07;10779.77;83;351;7.699607691073186
Ручная Ставка;29465782;Ручная Слон от 16.10.2025;2025-10-16 13:25:40;2025-10-17 23:59:59;1538;0.97;41;26.26;700.0;2.67;0.0;1076.6;0;3;0.0
Ручная Ставка;28872400;Аук Белая ДР 2 от 23.09.2025;2025-09-23 23:14:54;2025-09-25 08:56:36;11944;0.97;319;41.72;1114.17;2.67;5.64;13307.74;18;69;1.3525963086143853
Единая Ставка;26357051;АРК Черн Синг Карман от 19.06.2025;2025-06-19 13:13:05;2025-07-22 23:59:59;702930;0.96;32381;5.17;238.13;4.61;3.97;167393.09;1287;4122;7.688489411361006
Ручная Ставка;25675942;Аук Синг Карман черный от 21.05.2025;2025-05-21 10:24:33;2025-06-20 23:59:59;196386;0.94;11472;5.16;301.27;5.84;2.98;59166.34;342;1174;5.780313603984968
Единая Ставка;10053553;! АВТОКампания  Леопард;2023-09-20 18:29:00;2023-10-14 20:50:06;50357;0.96;2121;14.13;595.27;4.21;0.94;29976.1;20;20;0.6671982012336495
Ручная Ставка;25065220;Аукион Синг черный от 24.04.2025;2025-04-24 16:26:08;2025-09-27 23:59:59;1334160;0.94;88804;6.24;415.53;6.66;6.15;554396.53;5464;16796;9.855761543096238
Единая Ставка;21022546;АРК/ лонг 31.10.24;2024-10-31 09:02:44;2024-12-18 23:59:59;325005;0.97;9686;6.93;206.54;2.98;1.47;67126.72;142;740;2.115402033646214
Единая Ставка;16725610;не пополнять ЮБКИ / 2 этап;2024-04-24 21:37:08;2024-04-29 23:59:59;15351;0.98;242;17.08;269.29;1.58;0.41;4133.99;1;5;0.24189705345199192
Единая Ставка;21559143;АРК Белая блузка рукав от 22.11.24;2024-11-22 00:26:25;2025-04-01 23:59:59;3031102;0.98;76737;5.45;138.06;2.53;5.17;418476.31;3968;12210;9.482018229419008
Единая Ставка;16379442;коровка 13 апреля;2024-04-13 23:02:50;2024-04-16 23:59:59;7308;0.97;230;7.74;243.7;3.15;1.74;1780.98;4;23;2.2459544745028017
Единая Ставка;11318300;АРК 705;2023-11-01 17:05:38;2023-11-30 23:59:59;122970;0.98;3119;12.53;317.68;2.54;0.71;39065.99;22;367;0.5631496859544581
Единая Ставка;11169652;❌ 707-2 авто;2023-10-26 20:21:24;2024-02-26 23:59:59;387566;0.96;17104;10.51;463.87;4.41;0.75;179784.06;129;690;0.7175274604433786
Единая Ставка;11044441;блузка леопард бустер;2023-10-22 21:39:51;2023-10-23 12:59:46;4848;0.96;212;13.84;605.25;4.37;0.47;2934.29;1;1;0.34079794430679994
Единая Ставка;21762124;АРК Белый сингапур от 01.12.2024;2024-12-01 21:17:52;2025-03-25 23:59:59;2009682;0.96;79238;2.95;116.17;3.94;2.27;233475.15;1797;8996;7.696750596369678
Единая Ставка;10812720;Блузка с бантом с длинным рукавом леопардовая;2023-10-15 11:03:37;2023-10-22 23:59:59;41401;0.97;1110;5.65;151.52;2.68;0.45;6273.16;5;5;0.7970464646207015
Единая Ставка;21559146;T05blouse_beige;2024-11-22 00:26:53;2025-02-22 23:59:59;579473;0.96;21661;3.48;130.26;3.74;2.29;75483.0;495;2202;6.557767974245857
Единая Ставка;16772384;черный горох/ тест/ АРК;2024-04-26 11:54:39;2024-05-28 23:59:59;740060;0.97;19463;5.14;135.12;2.63;0.79;100004.0;154;2036;1.5399384024639013
Ручная Ставка;15619685;24676507 🟢 ПОИСК зеркало/ тест 22.03.2024;2024-03-22 07:48:48;2024-05-27 23:59:59;234359;0.93;16487;14.08;990.84;7.03;0.65;232212.51;107;1769;0.46078482162739637
Единая Ставка;11477805;316 авто;2023-11-08 13:57:56;2023-11-11 23:59:59;4704;0.97;132;10.59;297.25;2.81;2.27;1398.28;3;17;2.145493034299282
Единая Ставка;10908086;Бустеи видеорегистратор 316;2023-10-18 08:20:43;2023-10-29 18:33:12;5927;0.98;105;16.73;296.43;1.77;0.95;1756.97;1;1;0.5691616817589372
Ручная Ставка;25687082;Аук ДР Белая новая рк от 21.05.2025;2025-05-21 14:44:56;2025-05-21 23:59:59;3647;0.98;73;16.41;328.37;2.0;13.7;1197.57;10;18;8.35024257454679
Единая Ставка;19454660;АРК/Жилетка;2024-08-22 09:40:15;2024-09-24 23:59:59;348697;0.98;5448;24.68;385.52;1.56;2.4;134430.79;131;131;0.9744791353230907
Единая Ставка;17117359;🟢АРК/Юбка леопард;2024-05-10 15:54:44;2024-09-15 09:32:14;2725632;0.97;75353;6.32;174.65;2.76;1.47;476057.42;1111;5920;2.333752092342138
Ручная Ставка;16252941;не вкл зебра/ большой размер;2024-04-09 18:21:25;2024-04-14 23:59:59;10774;0.98;241;14.59;326.46;2.24;2.07;3517.35;5;32;1.4215247274226337
Единая Ставка;24629714;Черная АРК от 08.04.2025;2025-04-08 16:55:00;2025-05-06 23:59:59;1242423;0.97;36309;3.74;109.36;2.92;4.14;135874.84;1505;5412;11.07636998873375
Ручная Ставка;24295747;Аукц Черная ДР от 26.03.2025;2025-03-26 21:35:09;2025-10-11 23:59:59;716213;0.93;55592;5.95;461.92;7.76;9.9;330840.19;5504;14472;16.63643102127344
Ручная Ставка;22551398;Черная Поиск Фикс от 13.01.2025;2025-01-13 17:27:28;2025-01-15 03:31:37;20461;0.97;585;13.59;388.67;2.86;2.91;7952.65;17;61;2.13765222913117
Единая Ставка;10870753;‼️видеорегистратор зеркало АРК бустер 315;2023-10-17 07:56:49;2024-02-11 23:59:59;840138;0.96;31948;8.61;327.22;3.8;0.71;274912.95;228;2325;0.829353437151651
Единая Ставка;32195819;Полки Стойка Белая  от 24.12.2025;2025-12-24 13:27:50;2026-05-07 13:39:50;254380;0.97;7601;4.93;147.22;2.99;4.78;37450.93;363;1113;9.692683199055404
Ручная Ставка;29105743;Аук Бордо от 02.10.2025;2025-10-02 14:51:33;2025-10-05 23:59:59;6747;0.95;334;20.53;1016.28;4.95;4.49;6856.89;15;64;2.1875806670370967
Ручная Ставка;19771513;Видеорегистратор зеркало/ 🟡 Поиск;2024-09-07 09:48:27;2024-11-28 23:59:59;107108;0.95;5230;15.04;734.5;4.88;1.74;78671.42;91;253;1.1567097682995935
Единая Ставка;29686451;Ед Черная Стойка от 24.10.2025;2025-10-24 11:33:51;2025-11-08 23:59:59;17820;0.96;686;6.55;252.01;3.85;2.48;4490.99;17;48;3.785356903488986
Ручная Ставка;29143603;Ручная Рек Бела ДР от 03.10.2025;2025-10-03 19:00:50;2025-10-03 20:40:02;1764;0.98;37;30.17;632.88;2.1;10.81;1116.41;4;9;3.58291308748578
Единая Ставка;24183725;Кампания от 23.03.2025;2025-03-23 00:48:27;2025-03-25 16:15:52;215213;0.97;6746;4.23;132.55;3.13;2.43;28526.86;164;852;5.748967814894454
Единая Ставка;23901615;Стойка пуговица от 12.03.2025;2025-03-12 09:55:21;2025-03-24 23:59:59;103269;0.96;4697;7.6;345.56;4.55;2.15;35685.91;101;396;2.830248689188534
Единая Ставка;11060780;Леопард Оля от 23.10.2023;2023-10-23 13:50:50;2024-02-04 23:59:59;683777;0.96;26155;5.43;207.56;3.83;0.81;141929.81;211;648;1.4866503379381684
Ручная Ставка;28533579;Аук Фикс 315 от 11.09.2025;2025-09-11 10:16:30;2026-01-14 23:59:59;19927;0.92;1792;16.07;1444.97;8.99;11.1;28793.95;199;337;6.911174048715094
Ручная Ставка;33200556;Новая Белая ДР Ручная от 22.01.2026;2026-01-22 09:37:27;2026-05-07 13:39:50;567572;0.96;26288;9.83;455.11;4.63;9.4;258308.97;2471;6467;9.56606346268192
Ручная Ставка;25425100;Аук Синг Карман Белый от 11.05.2025;2025-05-11 12:54:18;2025-08-26 23:59:59;751928;0.93;58304;4.73;366.4;7.75;3.6;275509.93;2101;6462;7.625859438169797
Единая Ставка;16772436;зебра/ тест/ АРК;2024-04-26 11:55:36;2024-05-26 23:59:59;1152706;0.96;43162;3.06;114.74;3.74;0.42;132268.75;183;3859;1.3835467561309833
Единая Ставка;11024158;707Кампания от 21.10.2023;2023-10-21 20:36:01;2023-10-28 23:59:59;15732;0.97;438;16.71;465.24;2.78;0.23;7319.26;1;1;0.1366258337591505
Единая Ставка;10908051;Карточка видеорегистратор 316;2023-10-18 08:18:41;2023-10-29 10:46:31;8736;0.97;234;6.66;178.39;2.68;0.85;1558.44;2;2;1.28333461666795
Ручная Ставка;24631937;315 ФИКСЫ АУК от 08.04.2025;2025-04-08 17:55:28;2025-04-09 23:59:59;2116;0.94;126;23.01;1370.29;5.95;0.0;2899.55;0;11;0.0
Ручная Ставка;16449705;🟢 Тест ликвидности юбки 🟢;2024-04-16 13:42:14;2024-04-24 23:59:59;14755;0.98;255;46.09;796.61;1.73;0.39;11754.0;1;8;0.08507742045261188
Ручная Ставка;35012787;Ручн Синг Бел от 17.03.2026;2026-03-17 10:22:42;2026-05-07 13:39:50;223190;0.94;15245;5.54;378.63;6.83;4.79;84507.07;730;3002;8.638330497081487
Ручная Ставка;25425120;Аук Синг Вырез Белая от 11.05.2025;2025-05-11 12:55:42;2025-05-29 23:59:59;220091;0.94;13490;4.37;268.05;6.13;2.68;58996.47;362;1283;6.135960337965984
Единая Ставка;10861724;Кампания от 16.10.2023;2023-10-16 19:24:46;2023-10-23 08:04:18;59167;0.97;1694;5.29;151.37;2.86;0.65;8956.19;11;11;1.2282008309336894
Единая Ставка;28597515;АРК Белая ДР от 12.09.2025;2025-09-12 19:14:39;2025-09-19 17:36:51;161359;0.98;2754;10.8;184.36;1.71;7.44;29748.43;205;610;6.891119968347909
Единая Ставка;23901659;V вырез от 12.03.2025;2025-03-12 09:56:22;2025-03-27 23:59:59;121882;0.95;6530;6.05;324.07;5.36;2.39;39498.36;156;601;3.949531069138061
Единая Ставка;10479963;! АвтоКампания 706 от 05.10.2023;2023-10-05 10:24:47;2023-10-17 23:59:59;18182;0.95;966;15.62;830.05;5.31;0.31;15092.05;3;3;0.19878015246437694
Ручная Ставка;30690448;Ручная Черный Синг от 21.11.2025;2025-11-21 13:08:44;2026-05-07 13:39:50;109729;0.96;4145;9.79;369.86;3.78;4.1;40585.04;170;609;4.188735553790264
Единая Ставка;12016221;АРК 705 новое СЕО;2023-11-30 12:04:57;2024-01-22 10:16:32;135876;0.96;4979;14.39;527.28;3.66;1.1;71645.25;55;221;0.767671269204867
