category;title;sku;ssize;warehouse;orders_qty;sum_minus_comm;bought_qty;payout;stock;buyout_anomaly
Видеорегистраторы автомобильные;Видеорегистратор для автомобиля зеркало;B0315темно-серый;без размера;Воронеж;2;5140.74;2;5063.48;0;0
Видеорегистраторы автомобильные;Видеорегистратор для автомобиля зеркало;B0315темно-серый;без размера;Электросталь;543;1423653.3;491;1265162.34;0;0
Видеорегистраторы автомобильные;Видеорегистратор для автомобиля зеркало;B0315темно-серый;без размера;Краснодар;540;1484457.97;465;1251105.23;231;0
Видеорегистраторы автомобильные;Видеорегистратор для автомобиля зеркало;B0315темно-серый;без размера;Екатеринбург - Испытателей 14г;2;5413.36;2;5191.09;0;0
Видеорегистраторы автомобильные;Видеорегистратор для автомобиля зеркало;B0315темно-серый;без размера;Тула;327;865305.28;286;735323.54;185;0
Видеорегистраторы автомобильные;Видеорегистратор для автомобиля зеркало;B0315темно-серый;без размера;Владимир;2;5656.56;2;5545.35;0;0
Видеорегистраторы автомобильные;Видеорегистратор для автомобиля зеркало;B0315темно-серый;без размера;Сарапул;470;1188489.46;409;1006968.66;144;0
Видеорегистраторы автомобильные;Видеорегистратор для автомобиля зеркало;B0315темно-серый;без размера;Пенза;2;5142.06;1;2474.71;0;0
Видеорегистраторы автомобильные;Видеорегистратор для автомобиля зеркало;B0315темно-серый;без размера;Казань;399;1064348.66;380;1006094.46;1;0
Видеорегистраторы автомобильные;Видеорегистратор для автомобиля зеркало;B0315темно-серый;без размера;Рязань (Тюшевское);10;27543.54;9;23909.67;0;0
Видеорегистраторы автомобильные;Видеорегистратор для автомобиля зеркало;B0315темно-серый;без размера;СЦ Ереван;3;8409.17;3;8278.89;0;0
Видеорегистраторы автомобильные;Видеорегистратор для автомобиля зеркало;B0315темно-серый;без размера;Коледино;917;2446670.58;787;2065943.63;0;0
Видеорегистраторы автомобильные;Видеорегистратор для автомобиля зеркало;B0315темно-серый;без размера;Новосибирск;4;10504.62;3;7251.9;0;0
Видеорегистраторы автомобильные;Видеорегистратор для автомобиля зеркало;B0315темно-серый;без размера;Владивосток;1;2571.03;1;2481.79;0;0
Видеорегистраторы автомобильные;Видеорегистратор для автомобиля зеркало;B0315темно-серый;без размера;Котовск;8;23173.64;6;17238.25;0;0
Видеорегистраторы автомобильные;Видеорегистратор для автомобиля зеркало;B0315темно-серый;без размера;Екатеринбург - Перспективная 14;284;810233.18;262;731531.03;0;0
