sku;заказанно;выкупленно;выручка;payout_total;cost_price;category;bayout_rate;net_profit_per_unit;total_profit;margin_pct;profit_share_pct;profit_cumsum_pct;abc
T0102sing_white;32470;14820;37533544.26;16547317.58;450.0;Блузки;45.6;666.55;9878271.0;59.7;18.18;18.18;A
T05blouse_white;26798;9905;35728932.69;12880301.14;500.0;Блузки;37.0;800.38;7927763.9;61.5;14.59;32.77;A
T05blouse_black;18832;8337;26714922.28;11499055.89;500.0;Блузки;44.3;879.28;7330557.36;63.7;13.49;46.26;A
T0102sing_black;20780;11059;23567274.509999998;12247936.76;450.0;Блузки;53.2;657.51;7271403.09;59.4;13.38;59.64;A
T05blouse_pug_white;19176;6239;29540610.27;9350104.23;500.0;Блузки;32.5;998.65;6230577.35;66.6;11.47;71.11;A
T05blouse_bordo;12220;4343;19501007.7;6727576.23;500.0;Блузки;35.5;1049.06;4556067.58;67.7;8.38;79.49;A
B0315темно-серый;3563;3152;9510596.92;8255390.3;1450.0;Видеорегистраторы автомобильные;88.5;1169.1;3685003.2;44.6;6.78;86.27;B
T05blouse_pug_black;5835;2329;8122700.73;3139385.85;500.0;Блузки;39.9;847.95;1974875.55;62.9;3.63;89.9;B
T05blouse_beige;4758;1810;6494539.64;2381590.7399999998;500.0;Блузки;38.0;815.8;1476598.0;62.0;2.72;92.62;B
T0102sing_karman_white;5857;2002;6630207.36;2110614.26;450.0;Блузки;34.2;604.25;1209708.5;57.3;2.23;94.85;B
T0102sing_karman_black;4836;2063;5158686.96;2111958.74;450.0;Блузки;42.7;573.73;1183604.99;56.0;2.18;97.03;C
T05blouse_pug_slon;3143;1015;4689328.63;1472235.27;500.0;Блузки;32.3;950.48;964737.2;65.5;1.78;98.81;C
T0102sing_virez_white;2119;571;2573020.64;621481.89;400.0;Блузки;26.9;688.41;393082.11;63.2;0.72;99.53;C
T0102sing_virez_black;998;310;1004394.63;279168.10000000003;400.0;Блузки;31.1;500.54;155167.4;55.6;0.29;99.82;C
T05blouse_st_white;289;98;287898.47;97849.83;450.0;Блузки;33.9;548.47;53750.06;54.9;0.1;99.92;C
T05blouse_st_black;734;287;486037.16;179967.38;450.0;Блузки;39.1;177.06;50816.22;28.2;0.09;100.01;C
